Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;
Australia [Western Pacific];2004;Both sexes;null;1.3;null;8.2094;0.6;
Belgium [Europe];2002;null;Not applicable;1.68;null;;;
Saint Lucia [Americas];2002;null;Not applicable;7.34;null;;;
Trinidad and Tobago [Americas];2004;Female;null;0.1;null;7.98025;0.0;
France [Europe];2004;Male;null;0.9;null;13.72531;0.9;
Malaysia [Western Pacific];2004;Female;null;0.3;null;9.19477;0.6;
Syrian Arab Republic [Eastern Mediterranean];2002;null;Not applicable;3.16;null;;;
Lebanon [Eastern Mediterranean];2002;null;Not applicable;2.99;null;;;
Sweden [Europe];2004;Both sexes;null;1.3;null;5.57275;0.8;
Cyprus [Europe];2004;Male;null;0.3;null;22.78492;1.0;
Suriname [Americas];2004;Female;null;0.0;null;11.84002;0.0;
Israel [Europe];2002;null;Not applicable;0.74;null;;;
Benin [Africa];2002;null;Not applicable;12.7;null;;;
Hungary [Europe];2002;null;Not applicable;2.34;null;;;
Ukraine [Europe];2004;Both sexes;null;10.6;null;20.58348;7.0;
Egypt [Eastern Mediterranean];2004;Both sexes;null;1.5;null;10.72371;10.0;
Mozambique [Africa];2002;null;Not applicable;11.96;null;;;
Uzbekistan [Europe];2004;Both sexes;null;4.0;null;12.83093;21.4;
Czechia [Europe];2004;Both sexes;null;1.2;null;13.91677;2.2;
Monaco [Europe];2002;null;Not applicable;0.95;null;;;
Canada [Americas];2004;Male;null;2.0;null;12.59281;1.8;
Qatar [Eastern Mediterranean];2004;Female;null;0.0;null;8.15187;0.0;
Egypt [Eastern Mediterranean];2002;null;Not applicable;1.46;null;;;
Chad [Africa];2004;Male;null;39.9;null;33.15619;20.0;
C\u00f4te d'Ivoire [Africa];2004;Female;null;1.4;null;14.21644;5.4;
United States of America [Americas];2004;Female;null;3.9;null;9.92901;3.1;
Micronesia (Federated States of) [Western Pacific];2002;null;Not applicable;1.27;null;;;
Morocco [Eastern Mediterranean];2002;null;Not applicable;1.32;null;;;
Denmark [Europe];2004;Female;null;0.0;null;4.00797;0.0;
Ethiopia [Africa];2004;Both sexes;null;25.7;null;24.82102;15.9;
Tuvalu [Western Pacific];2004;Male;null;3.3;null;;1.9;
Switzerland [Europe];2004;Male;null;0.9;null;11.47397;1.7;
Iceland [Europe];2002;null;Not applicable;0.58;null;;;
Togo [Africa];2004;Female;null;0.2;null;19.95188;1.3;
Albania [Europe];2004;Female;null;0.0;null;6.2676;0.1;
Barbados [Americas];2004;Male;null;24.5;null;30.71482;7.7;
Morocco [Eastern Mediterranean];2004;Female;null;0.1;null;7.55722;1.8;
Ghana [Africa];2004;Both sexes;null;14.1;null;25.4368;22.9;
Saint Lucia [Americas];2004;Both sexes;null;22.4;null;20.3929;10.6;
Benin [Africa];2004;Both sexes;null;15.8;null;27.96128;22.3;
United States of America [Americas];2002;null;Not applicable;5.67;null;;;
Liberia [Africa];2004;Male;null;37.2;null;48.82778;49.3;
Eritrea [Africa];2004;Both sexes;null;20.3;null;33.53176;12.1;
Slovenia [Europe];2004;Both sexes;null;1.9;null;14.37023;2.1;
Qatar [Eastern Mediterranean];2004;Both sexes;null;0.9;null;29.46908;5.8;
Syrian Arab Republic [Eastern Mediterranean];2004;Male;null;5.2;null;31.93355;4.5;
Dominican Republic [Americas];2004;Male;null;33.7;null;58.34671;15.6;
Libya [Eastern Mediterranean];2004;Both sexes;null;3.2;null;21.22531;7.5;
Thailand [South-East Asia];2004;Female;null;1.0;null;15.62612;1.6;
Oman [Eastern Mediterranean];2004;Female;null;0.0;null;11.40154;0.0;
Panama [Americas];2004;Male;null;22.3;null;23.17666;9.9;
Andorra [Europe];2004;Male;null;1.1;null;;0.8;
Liberia [Africa];2004;Female;null;0.1;null;25.8598;1.4;
Lesotho [Africa];2004;Female;null;0.1;null;11.07834;0.2;
Somalia [Eastern Mediterranean];2004;Female;null;0.1;null;15.79914;2.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2002;null;Not applicable;5.05;null;;;
Barbados [Americas];2004;Female;null;0.0;null;3.77619;0.0;
Argentina [Americas];2002;null;Not applicable;8.85;null;;;
Romania [Europe];2004;Female;null;0.2;null;6.1384;0.1;
Guinea [Africa];2004;Female;null;0.3;null;22.36071;1.9;
Guinea [Africa];2002;null;Not applicable;29.6;null;;;
Comoros [Africa];2004;Both sexes;null;11.3;null;26.95779;19.8;
Ghana [Africa];2004;Female;null;0.7;null;14.71554;3.9;
Sierra Leone [Africa];2004;Male;null;71.2;null;39.71984;38.9;
United Republic of Tanzania [Africa];2004;Male;null;57.0;null;43.04753;22.4;
United Kingdom of Great Britain and Northern Ireland [Europe];2002;null;Not applicable;1.15;null;;;
Palau [Western Pacific];2004;Male;null;1.5;null;;1.8;
Republic of Moldova [Europe];2004;Both sexes;null;7.8;null;16.67482;1.8;
Yemen [Eastern Mediterranean];2004;Male;null;5.5;null;29.18287;28.3;
Dominica [Americas];2002;null;Not applicable;4.58;null;;;
Tuvalu [Western Pacific];2004;Both sexes;null;1.9;null;;2.5;
Guinea [Africa];2004;Both sexes;null;20.5;null;30.57453;24.5;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Male;null;4.4;null;58.58875;15.5;
Turkey [Europe];2002;null;Not applicable;3.67;null;;;
Nauru [Western Pacific];2004;Male;null;4.4;null;;;
Saudi Arabia [Eastern Mediterranean];2004;Female;null;0.2;null;11.79006;1.0;
Russian Federation [Europe];2002;null;Not applicable;29.64;null;;;
Congo [Africa];2004;Both sexes;null;23.5;null;25.80853;20.3;
Ecuador [Americas];2004;Both sexes;null;25.1;null;13.77572;9.0;
Guatemala [Americas];2004;Both sexes;null;51.3;null;4.95432;10.0;
Democratic Republic of the Congo [Africa];2002;null;Not applicable;27.34;null;;;
Maldives [South-East Asia];2004;Female;null;0.0;null;0.95713;0.0;
Slovakia [Europe];2004;Female;null;0.0;null;6.02914;0.1;
El Salvador [Americas];2004;Both sexes;null;41.2;null;35.62535;8.4;
Republic of Moldova [Europe];2004;Female;null;0.1;null;7.2283;0.0;
Kuwait [Eastern Mediterranean];2002;null;Not applicable;1.26;null;;;
Bangladesh [South-East Asia];2004;Female;null;3.2;null;7.39371;20.4;
Republic of Korea [Western Pacific];2004;Male;null;2.1;null;23.77697;1.8;
Bahrain [Eastern Mediterranean];2004;Both sexes;null;1.1;null;15.66556;2.7;
Sri Lanka [South-East Asia];2004;Female;null;0.2;null;5.43329;0.5;
Sierra Leone [Africa];2004;Female;null;0.3;null;22.88705;1.6;
Greece [Europe];2002;null;Not applicable;1.01;null;;;
Finland [Europe];2004;Male;null;3.6;null;10.67096;1.7;
Cuba [Americas];2002;null;Not applicable;4.99;null;;;
Tuvalu [Western Pacific];2004;Female;null;0.0;null;;0.0;
Colombia [Americas];2004;Male;null;155.7;null;28.01129;11.1;
Uzbekistan [Europe];2004;Male;null;6.0;null;20.1855;25.2;
Pakistan [Eastern Mediterranean];2004;Both sexes;null;5.1;null;14.38805;20.7;
Sweden [Europe];2002;null;Not applicable;1.0;null;;;
Colombia [Americas];2004;Female;null;2.4;null;7.34937;1.9;
India [South-East Asia];2004;Both sexes;null;6.5;null;15.59623;26.3;
Cook Islands [Western Pacific];2004;Male;null;1.6;null;;1.8;
Philippines [Western Pacific];2004;Male;null;44.9;null;15.16633;12.6;
Romania [Europe];2004;Male;null;4.1;null;18.74118;3.5;
Mauritius [Africa];2002;null;Not applicable;2.6;null;;;
Spain [Europe];2004;Female;null;0.2;null;5.32613;0.1;
Maldives [South-East Asia];2002;null;Not applicable;11.23;null;;;
Singapore [Western Pacific];2004;Male;null;1.9;null;9.80692;1.3;
United Arab Emirates [Eastern Mediterranean];2004;Both sexes;null;0.5;null;20.89182;4.1;
Czechia [Europe];2004;Female;null;0.0;null;7.18276;0.1;
Kazakhstan [Europe];2002;null;Not applicable;19.89;null;;;
Guatemala [Americas];2004;Female;null;0.6;null;1.80171;1.1;
Ireland [Europe];2002;null;Not applicable;1.02;null;;;
Angola [Africa];2004;Female;null;1.0;null;21.9593;4.7;
Bolivia (Plurinational State of) [Americas];2004;Male;null;7.4;null;20.74212;15.3;
Israel [Europe];2004;Male;null;7.2;null;12.17829;2.5;
Dominican Republic [Americas];2004;Both sexes;null;18.6;null;35.99186;14.3;
Dominica [Americas];2004;Both sexes;null;9.8;null;;11.4;
Uzbekistan [Europe];2004;Female;null;0.2;null;5.56797;2.7;
Iraq [Eastern Mediterranean];2004;Both sexes;null;8.5;null;21.05736;35.6;
Mongolia [Western Pacific];2004;Male;null;5.9;null;32.33728;16.9;
Belize [Americas];2004;Both sexes;null;28.0;null;23.49785;17.8;
Cambodia [Western Pacific];2004;Both sexes;null;21.6;null;17.60995;21.5;
Samoa [Western Pacific];2004;Both sexes;null;1.0;null;15.11784;1.7;
Norway [Europe];2004;Female;null;0.0;null;3.4955;0.0;
Seychelles [Africa];2004;Male;null;5.5;null;14.7295;5.2;
Solomon Islands [Western Pacific];2002;null;Not applicable;1.47;null;;;
El Salvador [Americas];2002;null;Not applicable;42.39;null;;;
Congo [Africa];2004;Male;null;39.1;null;30.80899;22.7;
Albania [Europe];2004;Both sexes;null;6.7;null;14.65429;5.3;
Malaysia [Western Pacific];2004;Both sexes;null;10.2;null;25.48962;4.4;
Saudi Arabia [Eastern Mediterranean];2002;null;Not applicable;2.85;null;;;
Haiti [Americas];2004;Both sexes;null;6.8;null;18.89007;16.5;
Hungary [Europe];2004;Male;null;2.4;null;24.1741;5.9;
Malawi [Africa];2002;null;Not applicable;11.45;null;;;
Netherlands [Europe];2004;Both sexes;null;1.2;null;5.57494;1.2;
Comoros [Africa];2004;Female;null;0.0;null;18.72625;0.1;
Ecuador [Americas];2002;null;Not applicable;24.77;null;;;
Lithuania [Europe];2004;Female;null;0.1;null;9.87312;0.0;
Ethiopia [Africa];2004;Female;null;2.6;null;16.33695;10.4;
Tunisia [Eastern Mediterranean];2004;Female;null;0.0;null;13.76139;0.3;
Tonga [Western Pacific];2004;Both sexes;null;0.6;null;12.97224;2.0;
Haiti [Americas];2004;Male;null;12.0;null;25.5399;16.7;
C\u00f4te d'Ivoire [Africa];2004;Both sexes;null;62.4;null;26.46004;42.1;
Brunei Darussalam [Western Pacific];2004;Both sexes;null;0.9;null;12.51968;4.6;
Central African Republic [Africa];2004;Male;null;62.6;null;42.89804;26.0;
Nepal [South-East Asia];2004;Male;null;28.5;null;21.74637;13.4;
Democratic Republic of the Congo [Africa];2004;Both sexes;null;45.1;null;36.53988;29.5;
Estonia [Europe];2002;null;Not applicable;14.17;null;;;
Nepal [South-East Asia];2004;Both sexes;null;16.9;null;15.88554;14.0;
Cabo Verde [Africa];2004;Both sexes;null;12.1;null;23.87111;7.4;
Argentina [Americas];2004;Female;null;0.4;null;4.71731;1.4;
Democratic People's Republic of Korea [South-East Asia];2004;Female;null;0.6;null;12.05117;1.3;
Rwanda [Africa];2002;null;Not applicable;25.39;null;;;
Australia [Western Pacific];2004;Female;null;0.1;null;4.54947;0.0;
Bolivia (Plurinational State of) [Americas];2002;null;Not applicable;4.74;null;;;
Niue [Western Pacific];2004;Both sexes;null;1.0;null;;2.4;
Kazakhstan [Europe];2004;Both sexes;null;16.2;null;25.41637;28.5;
Cyprus [Europe];2004;Female;null;0.0;null;6.16241;0.0;
Botswana [Africa];2002;null;Not applicable;7.34;null;;;
Saint Kitts and Nevis [Americas];2004;Female;null;0.0;null;;0.0;
New Zealand [Western Pacific];2004;Male;null;1.9;null;15.49139;2.9;
Sudan [Eastern Mediterranean];2004;Both sexes;null;31.0;null;25.65351;26.3;
Romania [Europe];2004;Both sexes;null;2.9;null;12.28572;2.9;
Guinea-Bissau [Africa];2004;Male;null;35.7;null;41.52961;28.8;
Mozambique [Africa];2004;Male;null;43.8;null;49.5206;20.4;
Madagascar [Africa];2004;Female;null;0.5;null;18.25361;4.3;
Botswana [Africa];2004;Both sexes;null;24.2;null;29.80921;31.6;
Togo [Africa];2004;Male;null;27.0;null;42.37421;27.9;
Equatorial Guinea [Africa];2004;Male;null;46.4;null;23.24278;36.4;
Chile [Americas];2004;Male;null;9.7;null;29.59168;3.0;
China [Western Pacific];2002;null;Not applicable;2.84;null;;;
Sri Lanka [South-East Asia];2002;null;Not applicable;7.81;null;;;
Ukraine [Europe];2002;null;Not applicable;13.92;null;;;
Sweden [Europe];2004;Female;null;0.0;null;2.77645;0.0;
Poland [Europe];2004;Male;null;2.2;null;27.02152;3.7;
Pakistan [Eastern Mediterranean];2002;null;Not applicable;5.61;null;;;
Denmark [Europe];2002;null;Not applicable;1.06;null;;;
Grenada [Americas];2002;null;Not applicable;4.57;null;;;
Saint Vincent and the Grenadines [Americas];2002;null;Not applicable;14.58;null;;;
Syrian Arab Republic [Eastern Mediterranean];2004;Both sexes;null;3.0;null;21.83665;3.9;
Guatemala [Americas];2002;null;Not applicable;47.8;null;;;
Sao Tome and Principe [Africa];2004;Both sexes;null;6.3;null;28.77356;;
Sudan [Eastern Mediterranean];2004;Male;null;51.0;null;35.26273;26.6;
Afghanistan [Eastern Mediterranean];2002;null;Not applicable;4.65;null;;;
Lebanon [Eastern Mediterranean];2004;Both sexes;null;2.7;null;17.52974;11.0;
Dominica [Americas];2004;Female;null;0.0;null;;0.0;
Canada [Americas];2004;Female;null;0.1;null;5.36057;0.2;
Zimbabwe [Africa];2004;Both sexes;null;37.7;null;34.8446;23.2;
Japan [Western Pacific];2004;Male;null;0.5;null;14.07841;0.4;
Belize [Americas];2004;Male;null;51.0;null;37.84583;19.7;
Oman [Eastern Mediterranean];2004;Male;null;2.4;null;38.93947;3.6;
Lesotho [Africa];2004;Male;null;28.9;null;44.49992;14.8;
Sweden [Europe];2004;Male;null;1.5;null;8.41959;1.1;
Azerbaijan [Europe];2004;Both sexes;null;2.9;null;10.68773;23.4;
Gambia [Africa];2004;Female;null;0.0;null;15.16768;0.3;
Republic of Moldova [Europe];2002;null;Not applicable;11.85;null;;;
Botswana [Africa];2004;Female;null;0.1;null;12.94619;0.3;
Solomon Islands [Western Pacific];2004;Female;null;0.0;null;8.80996;0.1;
Guyana [Americas];2004;Female;null;0.0;null;11.50979;0.1;
Malawi [Africa];2004;Both sexes;null;25.1;null;32.92373;17.1;
Zambia [Africa];2002;null;Not applicable;5.12;null;;;
India [South-East Asia];2004;Female;null;20.3;null;6.91308;193.4;
Central African Republic [Africa];2004;Female;null;0.2;null;24.61905;0.9;
Poland [Europe];2002;null;Not applicable;1.65;null;;;
Dominican Republic [Americas];2002;null;Not applicable;11.19;null;;;
Uruguay [Americas];2002;null;Not applicable;5.72;null;;;
Brazil [Americas];2004;Both sexes;null;29.9;null;22.23183;10.6;
United States of America [Americas];2004;Both sexes;null;6.2;null;15.78819;3.1;
Ethiopia [Africa];2002;null;Not applicable;26.46;null;;;
Belarus [Europe];2004;Male;null;13.1;null;36.91716;1.9;
Luxembourg [Europe];2004;Female;null;0.0;null;7.27249;0.0;
Niue [Western Pacific];2004;Male;null;1.8;null;;2.2;
Comoros [Africa];2004;Male;null;17.6;null;35.07484;22.0;
Sri Lanka [South-East Asia];2004;Both sexes;null;6.8;null;14.6953;7.1;
Portugal [Europe];2004;Both sexes;null;1.6;null;19.07186;1.9;
Equatorial Guinea [Africa];2004;Female;null;0.0;null;15.84807;0.1;
Cameroon [Africa];2004;Both sexes;null;19.0;null;27.77629;18.7;
Malawi [Africa];2004;Male;null;42.9;null;50.48161;19.0;
Tonga [Western Pacific];2002;null;Not applicable;0.71;null;;;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Both sexes;null;2.0;null;6.86957;3.5;
Jordan [Eastern Mediterranean];2004;Male;null;12.7;null;30.0037;11.1;
Kiribati [Western Pacific];2004;Female;null;0.0;null;6.2593;;
Papua New Guinea [Western Pacific];2004;Female;null;0.1;null;8.64752;0.7;
Brazil [Americas];2004;Female;null;4.8;null;8.43558;9.4;
Dominican Republic [Americas];2004;Female;null;0.2;null;13.39092;0.8;
Barbados [Americas];2002;null;Not applicable;7.63;null;;;
Kenya [Africa];2004;Male;null;43.6;null;39.41805;20.5;
Kiribati [Western Pacific];2004;Both sexes;null;6.5;null;18.78495;;
Senegal [Africa];2004;Male;null;27.2;null;34.5606;21.6;
Bhutan [South-East Asia];2004;Both sexes;null;5.7;null;13.14947;13.6;
Cabo Verde [Africa];2004;Male;null;19.6;null;38.10563;8.2;
Zambia [Africa];2004;Female;null;0.5;null;14.64108;2.0;
Greece [Europe];2004;Both sexes;null;0.8;null;17.49;2.6;
Gabon [Africa];2002;null;Not applicable;11.2;null;;;
Mongolia [Western Pacific];2002;null;Not applicable;3.58;null;;;
Samoa [Western Pacific];2002;null;Not applicable;1.06;null;;;
United Arab Emirates [Eastern Mediterranean];2004;Male;null;0.6;null;25.65995;4.5;
Georgia [Europe];2004;Female;null;0.0;null;6.83631;0.2;
Croatia [Europe];2004;Male;null;1.9;null;23.69727;2.1;
Gabon [Africa];2004;Female;null;0.0;null;15.96725;0.2;
Sierra Leone [Africa];2002;null;Not applicable;60.71;null;;;
Costa Rica [Americas];2004;Both sexes;null;6.7;null;15.38405;3.8;
Poland [Europe];2004;Female;null;0.2;null;7.3725;0.3;
Poland [Europe];2004;Both sexes;null;1.4;null;16.89082;3.3;
North Macedonia [Europe];2004;Both sexes;null;5.1;null;7.77815;10.1;
China [Western Pacific];2004;Male;null;2.8;null;29.87821;10.2;
