Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);
Micronesia (Federated States of) [Western Pacific];2004;Female;null;0.0;null;3.13299;;0.52355;
Zambia [Africa];2002;null;Not applicable;5.12;null;;;;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Male;null;3.1;null;10.45136;4.0;0.29559;
Italy [Europe];2004;Both sexes;null;0.9;null;10.89245;1.4;0.31526;
Guinea [Africa];2004;Female;null;0.3;null;22.36071;1.9;2.0574;
Poland [Europe];2002;null;Not applicable;1.65;null;;;;
Dominican Republic [Americas];2002;null;Not applicable;11.19;null;;;;
Uruguay [Americas];2002;null;Not applicable;5.72;null;;;;
Germany [Europe];2004;Male;null;0.7;null;11.12507;2.7;0.15746;
Ethiopia [Africa];2002;null;Not applicable;26.46;null;;;;
Honduras [Americas];2004;Female;null;0.2;null;11.59425;0.5;0.12511;
Latvia [Europe];2004;Both sexes;null;9.2;null;23.51989;0.9;3.99526;
Syrian Arab Republic [Eastern Mediterranean];2004;Male;null;5.2;null;31.93355;4.5;0.42018;
Australia [Western Pacific];2004;Both sexes;null;1.3;null;8.2094;0.6;0.35754;
Latvia [Europe];2004;Male;null;12.5;null;37.11634;1.1;5.9415;
Mauritania [Africa];2004;Male;null;28.0;null;30.98353;23.9;1.69419;
Belize [Americas];2004;Both sexes;null;28.0;null;23.49785;17.8;0.59018;
Malta [Europe];2004;Both sexes;null;0.8;null;3.4755;1.9;0.08791;
Guinea-Bissau [Africa];2004;Male;null;35.7;null;41.52961;28.8;3.78743;
Somalia [Eastern Mediterranean];2004;Both sexes;null;1.9;null;27.67947;23.7;4.88017;
Tonga [Western Pacific];2002;null;Not applicable;0.71;null;;;;
Cyprus [Europe];2004;Female;null;0.0;null;6.16241;0.0;0.00182;
Maldives [South-East Asia];2004;Female;null;0.0;null;0.95713;0.0;0.0667;
Barbados [Americas];2002;null;Not applicable;7.63;null;;;;
Kuwait [Eastern Mediterranean];2004;Male;null;1.4;null;35.79502;5.8;0.65094;
Egypt [Eastern Mediterranean];2004;Both sexes;null;1.5;null;10.72371;10.0;0.2442;
Malta [Europe];2004;Male;null;0.7;null;5.77002;2.3;0.17576;
Romania [Europe];2004;Male;null;4.1;null;18.74118;3.5;5.32082;
Oman [Eastern Mediterranean];2004;Female;null;0.0;null;11.40154;0.0;0.07747;
Gabon [Africa];2002;null;Not applicable;11.2;null;;;;
Mongolia [Western Pacific];2002;null;Not applicable;3.58;null;;;;
Samoa [Western Pacific];2002;null;Not applicable;1.06;null;;;;
Libya [Eastern Mediterranean];2004;Both sexes;null;3.2;null;21.22531;7.5;0.95687;
Republic of Moldova [Europe];2004;Male;null;10.7;null;26.95964;2.8;12.88388;
Kuwait [Eastern Mediterranean];2004;Female;null;0.0;null;10.49312;0.1;0.30425;
Sierra Leone [Africa];2002;null;Not applicable;60.71;null;;;;
Lao People's Democratic Republic [Western Pacific];2004;Both sexes;null;7.1;null;13.84621;13.5;1.1689;
Tonga [Western Pacific];2004;Both sexes;null;0.6;null;12.97224;2.0;1.50961;
Rwanda [Africa];2004;Male;null;61.2;null;50.65191;25.1;4.94613;
Sao Tome and Principe [Africa];2004;Male;null;9.9;null;43.44028;;1.56757;
Angola [Africa];2004;Both sexes;null;48.2;null;25.87048;32.0;3.71244;
Spain [Europe];2004;Both sexes;null;1.3;null;11.67442;1.2;0.38712;
United Arab Emirates [Eastern Mediterranean];2004;Male;null;0.6;null;25.65995;4.5;0.70303;
Malta [Europe];2004;Female;null;0.0;null;1.21708;0.0;0.00145;
Kyrgyzstan [Europe];2004;Female;null;0.1;null;9.01711;0.5;1.23371;
Romania [Europe];2004;Female;null;0.2;null;6.1384;0.1;2.70769;
