Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);Age-standardized NCD mortality rate  (per 100 000 population);Mortality rate among children ages 10 to 14 years (per 1000 children aged 10);
Somalia [Eastern Mediterranean];2002;null;Not applicable;38.62;null;;;;;;
Monaco [Europe];2004;Female;null;0.0;null;;0.0;;;;
Gambia [Africa];2002;null;Not applicable;11.82;null;;;;;;
United Arab Emirates [Eastern Mediterranean];2004;Female;null;0.0;null;10.18178;0.1;0.10485;523.5662;;
Nicaragua [Americas];2004;Male;null;31.4;null;25.70578;10.9;0.56041;647.2017;;
Belgium [Europe];2004;Both sexes;null;1.6;null;11.43117;1.2;0.57737;408.4439;0.66181;
Bolivia (Plurinational State of) [Americas];2004;Male;null;7.4;null;20.74212;15.3;0.97239;612.5527;;
Libya [Eastern Mediterranean];2004;Male;null;5.5;null;31.46175;7.8;1.25305;522.7065;;
Bahrain [Eastern Mediterranean];2004;Both sexes;null;1.1;null;15.66556;2.7;0.22274;849.8815;1.24436;
Andorra [Europe];2004;Female;null;0.0;null;;0.0;;;;
Niue [Western Pacific];2004;Female;null;0.0;null;;0.0;;;;
Poland [Europe];2004;Male;null;2.2;null;27.02152;3.7;1.68547;799.9812;;
Netherlands [Europe];2004;Both sexes;null;1.2;null;5.57494;1.2;0.1295;424.6453;0.63817;
Comoros [Africa];2002;null;Not applicable;8.97;null;;;;;;
Eritrea [Africa];2002;null;Not applicable;9.64;null;;;;;;
Albania [Europe];2004;Both sexes;null;6.7;null;14.65429;5.3;0.51017;558.5732;1.60437;
Cameroon [Africa];2004;Female;null;0.6;null;12.10995;2.6;2.14454;675.5907;;
Algeria [Africa];2004;Female;null;0.9;null;14.01115;2.9;0.78108;529.8498;;
Romania [Europe];2002;null;Not applicable;3.22;null;;;;;;
Andorra [Europe];2002;null;Not applicable;0.77;null;;;;;;
Maldives [South-East Asia];2004;Female;null;0.0;null;0.95713;0.0;0.0667;590.7391;;
San Marino [Europe];2004;Both sexes;null;0.0;null;;;;;0.56919;
India [South-East Asia];2004;Male;null;8.6;null;23.60447;24.7;0.58818;703.1933;;
Guatemala [Americas];2004;Female;null;0.6;null;1.80171;1.1;0.85721;453.1007;;
United Republic of Tanzania [Africa];2002;null;Not applicable;30.11;null;;;;;;
Mozambique [Africa];2004;Female;null;0.9;null;17.94327;3.9;2.59241;596.8509;;
Kiribati [Western Pacific];2002;null;Not applicable;7.26;null;;;;;;
Tajikistan [Europe];2002;null;Not applicable;7.99;null;;;;;;
Guyana [Americas];2004;Both sexes;null;23.8;null;29.09873;22.3;0.32769;875.261;2.42952;
Togo [Africa];2004;Female;null;0.2;null;19.95188;1.3;1.64933;635.5494;;
Uzbekistan [Europe];2002;null;Not applicable;4.49;null;;;;;;
Bolivia (Plurinational State of) [Americas];2004;Both sexes;null;4.4;null;15.13941;15.0;0.89238;596.4451;3.382;
Eswatini [Africa];2004;Both sexes;null;25.8;null;30.40904;25.7;4.96883;1225.529;3.56679;
United Arab Emirates [Eastern Mediterranean];2004;Male;null;0.6;null;25.65995;4.5;0.70303;649.4035;;
Sri Lanka [South-East Asia];2004;Female;null;0.2;null;5.43329;0.5;0.5981;453.9229;;
Andorra [Europe];2004;Male;null;1.1;null;;0.8;;;;
Zimbabwe [Africa];2004;Both sexes;null;37.7;null;34.8446;23.2;2.76241;667.0287;6.78966;
Chile [Americas];2002;null;Not applicable;5.59;null;;;;;;
Armenia [Europe];2004;Female;null;0.0;null;9.67343;0.1;0.74389;559.9531;;
Grenada [Americas];2004;Both sexes;null;4.7;null;1.9167;7.2;0.35928;686.7384;1.7407;
Brazil [Americas];2002;null;Not applicable;31.09;null;;;;;;
Belarus [Europe];2002;null;Not applicable;11.75;null;;;;;;
Mongolia [Western Pacific];2004;Male;null;5.9;null;32.33728;16.9;6.52247;1551.386;;
Romania [Europe];2004;Both sexes;null;2.9;null;12.28572;2.9;3.98231;728.2761;1.61201;
Morocco [Eastern Mediterranean];2004;Female;null;0.1;null;7.55722;1.8;1.17506;655.1973;;
Burkina Faso [Africa];2002;null;Not applicable;17.13;null;;;;;;
Niger [Africa];2004;Male;null;45.1;null;35.78974;16.4;4.85794;636.9012;;
Ukraine [Europe];2004;Both sexes;null;10.6;null;20.58348;7.0;7.58701;906.1452;1.71558;
Guinea [Africa];2004;Both sexes;null;20.5;null;30.57453;24.5;2.80298;639.8863;9.87027;
Nauru [Western Pacific];2002;null;Not applicable;10.89;null;;;;;;
Cameroon [Africa];2002;null;Not applicable;12.96;null;;;;;;
Fiji [Western Pacific];2002;null;Not applicable;0.86;null;;;;;;
Cyprus [Europe];2004;Both sexes;null;0.2;null;14.58558;0.9;0.00335;425.9886;0.85677;
Luxembourg [Europe];2004;Both sexes;null;1.2;null;11.50896;2.7;0.83103;415.4779;0.49501;
Croatia [Europe];2004;Female;null;0.0;null;5.57956;0.0;0.45173;448.7747;;
Australia [Western Pacific];2002;null;Not applicable;1.44;null;;;;;;
Turkmenistan [Europe];2002;null;Not applicable;11.47;null;;;;;;
Czechia [Europe];2004;Male;null;1.6;null;21.01889;2.3;1.64812;739.535;;
Burundi [Africa];2002;null;Not applicable;23.44;null;;;;;;
Oman [Eastern Mediterranean];2002;null;Not applicable;2.09;null;;;;;;
Kiribati [Western Pacific];2004;Female;null;0.0;null;6.2593;;1.40942;1167.527;;
Belgium [Europe];2002;null;Not applicable;1.68;null;;;;;;
Saint Lucia [Americas];2002;null;Not applicable;7.34;null;;;;;;
Kazakhstan [Europe];2004;Both sexes;null;16.2;null;25.41637;28.5;4.8997;984.785;2.31453;
Tuvalu [Western Pacific];2004;Both sexes;null;1.9;null;;2.5;;;3.27098;
C\u00f4te d'Ivoire [Africa];2004;Both sexes;null;62.4;null;26.46004;42.1;2.65494;744.6774;10.74632;
Syrian Arab Republic [Eastern Mediterranean];2002;null;Not applicable;3.16;null;;;;;;
Lebanon [Eastern Mediterranean];2002;null;Not applicable;2.99;null;;;;;;
Spain [Europe];2004;Both sexes;null;1.3;null;11.67442;1.2;0.38712;379.6921;0.70068;
Cook Islands [Western Pacific];2004;Male;null;1.6;null;;1.8;;;;
Congo [Africa];2004;Male;null;39.1;null;30.80899;22.7;2.48747;846.8438;;
Eswatini [Africa];2004;Female;null;0.1;null;13.31232;0.2;4.66616;1047.094;;
Tonga [Western Pacific];2004;Both sexes;null;0.6;null;12.97224;2.0;1.50961;684.8712;1.8625;
Russian Federation [Europe];2004;Both sexes;null;26.7;null;29.91241;3.9;8.95348;966.3377;2.13761;
Israel [Europe];2002;null;Not applicable;0.74;null;;;;;;
Viet Nam [Western Pacific];2004;Both sexes;null;4.3;null;24.88237;9.3;1.12516;588.4679;2.22294;
Kuwait [Eastern Mediterranean];2004;Male;null;1.4;null;35.79502;5.8;0.65094;433.9195;;
Tuvalu [Western Pacific];2004;Male;null;3.3;null;;1.9;;;;
Cyprus [Europe];2004;Male;null;0.3;null;22.78492;1.0;0.00483;514.0847;;
Benin [Africa];2002;null;Not applicable;12.7;null;;;;;;
Hungary [Europe];2002;null;Not applicable;2.34;null;;;;;;
Singapore [Western Pacific];2004;Male;null;1.9;null;9.80692;1.3;0.03873;402.2083;;
Mozambique [Africa];2002;null;Not applicable;11.96;null;;;;;;
Monaco [Europe];2002;null;Not applicable;0.95;null;;;;;;
Madagascar [Africa];2004;Male;null;23.0;null;34.62613;27.6;3.80748;795.1097;;
Switzerland [Europe];2004;Male;null;0.9;null;11.47397;1.7;0.12005;432.3494;;
Egypt [Eastern Mediterranean];2002;null;Not applicable;1.46;null;;;;;;
Nepal [South-East Asia];2004;Female;null;0.7;null;10.10227;2.9;1.04106;487.1555;;
Micronesia (Federated States of) [Western Pacific];2002;null;Not applicable;1.27;null;;;;;;
Morocco [Eastern Mediterranean];2002;null;Not applicable;1.32;null;;;;;;
Iceland [Europe];2002;null;Not applicable;0.58;null;;;;;;
Ecuador [Americas];2004;Both sexes;null;25.1;null;13.77572;9.0;0.52923;463.1761;2.36802;
Niger [Africa];2004;Both sexes;null;26.9;null;27.90663;16.8;3.95786;618.3465;17.17454;
Australia [Western Pacific];2004;Both sexes;null;1.3;null;8.2094;0.6;0.35754;351.2596;0.60357;
United States of America [Americas];2002;null;Not applicable;5.67;null;;;;;;
Iraq [Eastern Mediterranean];2004;Female;null;0.2;null;13.03024;7.7;0.42197;597.3177;;
Panama [Americas];2004;Both sexes;null;12.3;null;13.88653;9.0;0.48745;382.4737;1.89636;
Lao People's Democratic Republic [Western Pacific];2004;Male;null;9.7;null;19.20099;14.2;1.3489;890.7197;;
Yemen [Eastern Mediterranean];2004;Both sexes;null;3.2;null;22.38986;25.7;2.40419;762.2051;3.98713;
Romania [Europe];2004;Female;null;0.2;null;6.1384;0.1;2.70769;588.1259;;
Cabo Verde [Africa];2004;Male;null;19.6;null;38.10563;8.2;0.72076;600.8325;;
Antigua and Barbuda [Americas];2004;Both sexes;null;7.5;null;2.4892;9.8;0.71244;519.1674;1.47516;
Belarus [Europe];2004;Male;null;13.1;null;36.91716;1.9;12.44757;1223.021;;
Thailand [South-East Asia];2004;Female;null;1.0;null;15.62612;1.6;0.20141;392.6934;;
Saudi Arabia [Eastern Mediterranean];2004;Both sexes;null;3.1;null;23.03234;7.4;0.80291;693.0622;1.92556;
Iran (Islamic Republic of) [Eastern Mediterranean];2002;null;Not applicable;5.05;null;;;;;;
Chad [Africa];2004;Both sexes;null;23.8;null;25.05454;18.1;3.85354;666.4847;13.0222;
Mongolia [Western Pacific];2004;Female;null;0.0;null;9.89851;0.2;2.81199;987.5499;;
Argentina [Americas];2002;null;Not applicable;8.85;null;;;;;;
Lithuania [Europe];2004;Both sexes;null;8.2;null;23.60155;2.3;5.72546;646.7481;1.31401;
Iceland [Europe];2004;Female;null;0.0;null;4.89453;0.0;0.0;305.541;;
Monaco [Europe];2004;Male;null;1.2;null;;0.2;;;;
Guinea [Africa];2002;null;Not applicable;29.6;null;;;;;;
Tunisia [Eastern Mediterranean];2004;Male;null;3.0;null;33.054;9.9;1.07518;612.126;;
Slovenia [Europe];2004;Both sexes;null;1.9;null;14.37023;2.1;0.6548;476.1814;0.67437;
Syrian Arab Republic [Eastern Mediterranean];2004;Female;null;0.1;null;11.32353;0.4;0.46804;659.2863;;
Peru [Americas];2004;Both sexes;null;3.4;null;15.35609;6.7;0.57366;344.9102;2.32065;
Belize [Americas];2004;Female;null;0.0;null;8.97698;0.0;0.36247;477.2957;;
Mauritius [Africa];2004;Male;null;4.2;null;24.85048;6.4;0.65972;896.5522;;
Mali [Africa];2004;Male;null;41.6;null;29.35104;34.6;3.91746;637.1101;;
United Kingdom of Great Britain and Northern Ireland [Europe];2002;null;Not applicable;1.15;null;;;;;;
Cuba [Americas];2004;Female;null;0.1;null;4.93633;0.0;0.17059;381.9016;;
Chad [Africa];2004;Female;null;0.4;null;17.01021;1.7;2.69843;585.924;;
Slovakia [Europe];2004;Both sexes;null;1.8;null;14.45105;4.3;0.94272;638.1589;0.9664;
Morocco [Eastern Mediterranean];2004;Male;null;2.1;null;40.34035;13.6;0.94926;632.4947;;
Greece [Europe];2004;Both sexes;null;0.8;null;17.49;2.6;0.24776;426.2757;0.68451;
Turkey [Europe];2004;Male;null;4.7;null;9.76347;12.3;0.61017;624.1576;;
Qatar [Eastern Mediterranean];2004;Male;null;0.8;null;40.66444;6.0;0.52414;699.0929;;
Dominica [Americas];2002;null;Not applicable;4.58;null;;;;;;
Sudan [Eastern Mediterranean];2004;Male;null;51.0;null;35.26273;26.6;2.63988;714.8471;;
Trinidad and Tobago [Americas];2004;Female;null;0.1;null;7.98025;0.0;0.07792;568.0856;;
Equatorial Guinea [Africa];2004;Female;null;0.0;null;15.84807;0.1;1.69126;624.189;;
Turkey [Europe];2002;null;Not applicable;3.67;null;;;;;;
Nauru [Western Pacific];2004;Male;null;4.4;null;;;;;;
Greece [Europe];2004;Male;null;1.2;null;27.21521;2.9;0.41031;521.9389;;
Libya [Eastern Mediterranean];2004;Female;null;0.0;null;10.29593;0.3;0.64065;409.1868;;
Russian Federation [Europe];2002;null;Not applicable;29.64;null;;;;;;
Ethiopia [Africa];2004;Both sexes;null;25.7;null;24.82102;15.9;6.41658;653.421;11.80494;
Albania [Europe];2004;Male;null;11.5;null;22.91743;5.4;0.63768;670.3858;;
Indonesia [South-East Asia];2004;Both sexes;null;9.7;null;14.38919;11.0;0.41947;689.7083;6.06036;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Female;null;0.4;null;18.70256;4.5;1.12918;484.9613;;
Democratic Republic of the Congo [Africa];2002;null;Not applicable;27.34;null;;;;;;
Armenia [Europe];2004;Male;null;6.0;null;28.36485;14.4;1.5535;828.2207;;
Kuwait [Eastern Mediterranean];2002;null;Not applicable;1.26;null;;;;;;
Jordan [Eastern Mediterranean];2004;Male;null;12.7;null;30.0037;11.1;0.87224;517.7368;;
Pakistan [Eastern Mediterranean];2004;Male;null;6.1;null;14.68023;20.8;2.29778;910.4332;;
Italy [Europe];2004;Female;null;0.2;null;4.33247;0.2;0.21211;290.1126;;
Malawi [Africa];2004;Female;null;0.4;null;15.89246;2.0;1.96369;624.68;;
Brazil [Americas];2004;Male;null;55.6;null;36.33449;11.8;0.14281;671.7964;;
Greece [Europe];2002;null;Not applicable;1.01;null;;;;;;
Cuba [Americas];2002;null;Not applicable;4.99;null;;;;;;
Sao Tome and Principe [Africa];2004;Both sexes;null;6.3;null;28.77356;;0.8553;599.8421;5.43656;
Nepal [South-East Asia];2004;Both sexes;null;16.9;null;15.88554;14.0;1.73942;491.3463;3.89263;
Malawi [Africa];2004;Both sexes;null;25.1;null;32.92373;17.1;2.75343;740.776;7.92902;
Georgia [Europe];2004;Female;null;0.0;null;6.83631;0.2;0.47101;716.8951;;
Viet Nam [Western Pacific];2004;Female;null;0.7;null;10.3208;3.9;0.36117;445.644;;
Malaysia [Western Pacific];2004;Male;null;17.9;null;41.03165;5.0;0.98287;643.0001;;
Sweden [Europe];2002;null;Not applicable;1.0;null;;;;;;
Kyrgyzstan [Europe];2004;Male;null;15.1;null;28.58152;23.7;2.90213;1001.43;;
Mauritius [Africa];2002;null;Not applicable;2.6;null;;;;;;
Maldives [South-East Asia];2002;null;Not applicable;11.23;null;;;;;;
Norway [Europe];2004;Both sexes;null;0.8;null;6.28505;0.3;0.42224;387.4078;0.59683;
Kazakhstan [Europe];2002;null;Not applicable;19.89;null;;;;;;
Tuvalu [Western Pacific];2004;Female;null;0.0;null;;0.0;;;;
Ireland [Europe];2002;null;Not applicable;1.02;null;;;;;;
Malta [Europe];2004;Male;null;0.7;null;5.77002;2.3;0.17576;527.3565;;
Kuwait [Eastern Mediterranean];2004;Both sexes;null;1.2;null;25.44878;5.3;0.50917;402.0507;1.32085;
Mauritania [Africa];2004;Female;null;0.1;null;22.39089;0.5;1.25408;550.0552;;
Kiribati [Western Pacific];2004;Both sexes;null;6.5;null;18.78495;;2.15414;1389.004;4.69363;
Comoros [Africa];2004;Male;null;17.6;null;35.07484;22.0;3.31905;660.4281;;
Croatia [Europe];2004;Both sexes;null;1.6;null;14.30241;2.1;0.91963;577.1274;0.73048;
Oman [Eastern Mediterranean];2004;Male;null;2.4;null;38.93947;3.6;2.29606;868.045;;
